,Movie Title,IMDB rating,Year of release,Running_time_min,Genre,Number of Votes
93,Tezaab,7.0,1988,173.0,"Action, Drama, Musical            ",1513
94,Dilwale Dulhania Le Jayenge,8.2,1995,189.0,"Comedy, Drama, Musical            ",53786
95,Rangeela,7.5,1995,142.0,"Comedy, Drama, Musical            ",7368
96,Ijaazat,8.3,1987,137.0,"Drama, Musical, Romance            ",1069
97,Kabzaa,6.3,1988,143.0,"Action, Thriller            ",128
98,Qayamat Se Qayamat Tak,7.6,1988,162.0,"Drama, Musical, Romance            ",8663
99,Parwana,6.9,1971,93.0,"Romance, Thriller            ",144
100,Johnny Gaddaar,7.9,2007,135.0,"Crime, Drama, Mystery            ",9201
101,Hatya,7.1,1988,151.0,"Action, Crime, Drama            ",273
102,Aap Ki Kasam,7.0,1974,153.0,"Romance, Drama            ",323
103,Lamhe,7.4,1991,187.0,"Drama, Musical, Romance            ",2199
104,Eeshwar,7.3,1989,147.0,"Drama, Musical, Family            ",396
105,Hathyar,5.9,1989,186.0,"Action, Crime            ",211
106,Chandni,6.9,1989,186.0,"Drama, Musical, Romance            ",1279
107,Sadak,7.1,1991,134.0,"Action, Drama, Romance            ",960
108,Angaar,6.6,1992,176.0,"Action, Crime, Drama            ",228
109,Krantiveer,7.4,1994,159.0,"Action, Drama, Romance            ",1493
110,Muskurahat,7.2,1992,135.0,"Comedy, Drama            ",244
111,Drohi,6.1,1992,130.0,"Action, Crime, Romance            ",105
112,Gangs of Wasseypur,8.2,2012,321.0,"Action, Crime, Drama            ",61826
113,Paan Singh Tomar,8.2,2012,135.0,"Action, Biography, Crime            ",27367
114,Dacait,6.8,1987,158.0,"Action, Drama            ",197
115,Aankhen,7.6,2002,165.0,"Comedy, Thriller, Crime            ",10159
116,Gardish,7.4,1993,153.0,"Action, Crime, Drama            ",666
117,Kabhi Haan Kabhi Naa,8.0,1994,158.0,"Comedy, Drama, Music            ",14748
118,Lekin...,7.5,1990,171.0,"Drama, Fantasy, Musical            ",277
119,Bandit Queen,7.6,1994,119.0,"Biography, Crime, Drama            ",3749
120,Mohra,7.2,1994,177.0,"Action, Drama, Thriller            ",6495
121,Dillagi,7.0,1978,nan,"Comedy, Romance            ",160
122,Droh Kaal,7.7,1994,162.0,"Drama, Thriller            ",306
123,Inaam Dus Hazaar,6.4,1987,nan,"Action, Thriller            ",91
124,Sarkar,7.7,2005,124.0,"Crime, Drama            ",13288
125,Dil Se..,7.7,1998,163.0,"Drama, Romance            ",22913
126,Ghulam,7.4,1998,162.0,"Action, Crime, Drama            ",9239
127,Jungle,6.2,2000,146.0,"Action, Adventure, Romance            ",921
128,Hera Pheri,6.9,1976,164.0,"Action, Comedy, Crime            ",818
129,Aks,5.9,2001,184.0,"Action, Crime, Horror            ",1432
130,Lagaan: Once Upon a Time in India,8.1,2001,224.0,"Adventure, Drama, Musical            ",86878
131,Cheeni Kum,6.8,2007,140.0,"Comedy, Romance            ",4246
132,Kaante,6.6,2002,150.0,"Action, Crime, Drama            ",3933
133,Ek Hasina Thi,7.6,2004,120.0,"Crime, Drama, Mystery            ",4932
134,Omkara,8.1,2006,155.0,"Action, Crime, Drama            ",15863
135,Zakhm,8.0,1998,125.0,Drama            ,2421
136,Darr,7.9,1993,178.0,"Drama, Romance, Thriller            ",18901
137,Pyaar Ke Side Effects,6.7,2006,132.0,"Comedy, Drama, Romance            ",2699
138,Chak De! India,8.2,2007,153.0,"Drama, Family, Sport            ",61367
139,3 Idiots,8.4,2009,170.0,"Comedy, Drama            ",273304
140,Welcome to Sajjanpur,6.9,2008,133.0,"Comedy, Drama            ",2742
141,Kaminey,7.4,2009,130.0,"Action, Comedy, Crime            ",14438
142,Shaan,7.2,1980,181.0,"Action, Adventure, Crime            ",2073
143,Meri Jung,7.3,1985,164.0,Drama            ,841
144,Alaap,7.0,1977,160.0,"Drama, Musical            ",261
145,Mili,7.6,1975,150.0,"Drama, Romance, Family            ",1041
146,Faraar,7.0,1975,136.0,"Action, Crime, Drama            ",258
147,Do Anjaane,7.0,1976,155.0,Drama            ,335
148,Aadalat,6.6,1976,nan,"Action, Drama, Family            ",215
149,Sagina Mahato,8.0,1971,148.0,Drama            ,22
150,Do Aur Do Paanch,7.1,1980,132.0,"Action, Comedy, Drama            ",830
151,Sparsh,8.2,1980,145.0,"Drama, Romance            ",494
152,Jewel Thief,8.0,1967,186.0,"Crime, Drama, Musical            ",1390
153,Khakee,7.5,2004,174.0,"Action, Drama, Thriller            ",12920
154,Shootout at Lokhandwala,7.1,2007,122.0,"Action, Biography, Crime            ",7934
155,Sahib Bibi Aur Ghulam,8.4,1962,152.0,"Drama, Musical            ",1262
156,Kala Pani,7.1,1958,164.0,"Crime, Musical, Romance            ",212
157,Sharaabi,7.4,1984,180.0,"Comedy, Drama, Romance            ",2170
158,Luck by Chance,7.1,2009,156.0,Drama            ,8457
159,Delhi-6,6.0,2009,141.0,"Comedy, Drama            ",6012
160,Rock On!!,7.8,2008,145.0,"Drama, Music            ",18026
161,Do Dooni Chaar,7.6,2010,112.0,"Comedy, Drama            ",4148
162,Rang Birangi,7.2,1983,180.0,Comedy            ,358
163,Mausam,8.1,1975,156.0,"Musical, Romance            ",704
164,Kinara,7.6,1977,139.0,"Drama, Family            ",92
165,Guddi,7.3,1971,121.0,"Drama, Comedy, Family            ",788
166,Road,5.6,2002,134.0,Thriller            ,1031
167,Ab Tak Chhappan,7.9,2004,129.0,"Crime, Drama, Thriller            ",6437
168,Ghatak: Lethal,7.4,1996,158.0,"Action, Drama, Romance            ",2523
169,Dev,7.1,2004,172.0,Drama            ,1181
170,Oye Lucky! Lucky Oye!,7.8,2008,125.0,"Comedy, Crime, Drama            ",13425
171,Khosla Ka Ghosla!,8.3,2006,135.0,"Comedy, Crime, Drama            ",17792
172,Kotwal Saab,5.9,1977,nan,"Action, Crime, Drama            ",17
173,Safar,7.3,1970,137.0,"Drama, Romance            ",293
174,Main Azaad Hoon,7.3,1989,160.0,Drama            ,606
175,Parvarish,7.0,1977,162.0,"Action, Crime, Drama            ",735
176,Laawaris,7.2,1981,189.0,"Drama, Action, Musical            ",1814
177,Rudaali,7.2,1993,128.0,Drama            ,390
178,Kaagaz Ke Phool,8.2,1959,148.0,"Musical, Romance            ",1585
179,Do Bigha Zamin,8.4,1953,131.0,Drama            ,1402
180,Pushpak,8.7,1987,125.0,"Comedy, Romance            ",2749
181,Salaam Bombay!,8.0,1988,113.0,"Crime, Drama            ",7389
182,Roja,8.2,1992,137.0,"Drama, Romance, Thriller            ",9035
183,Love Ke Liye Kuch Bhi Karega,6.1,2001,131.0,"Comedy, Crime, Romance            ",1311
184,Teesri Manzil,7.8,1966,172.0,"Comedy, Musical, Mystery            ",862
185,Paa,7.2,2009,133.0,"Comedy, Drama            ",9903
186,Satyakam,8.2,1969,175.0,Drama            ,542
187,Lage Raho Munna Bhai,8.1,2006,144.0,"Comedy, Drama, Fantasy            ",35139
188,Dil Hai Ki Manta Nahin,7.4,1991,154.0,"Adventure, Comedy, Drama            ",3190
189,Hazaaron Khwaishein Aisi,8.0,2003,120.0,Drama            ,4187
190,Hip Hip Hurray,7.5,1984,nan,"Drama, Sport            ",68
191,Padosan,8.1,1968,157.0,"Comedy, Musical, Romance            ",4803
192,Border,7.9,1997,176.0,"Action, Drama, History            ",10574
193,Aakrosh,8.0,1980,144.0,"Drama, Mystery, Thriller            ",592
194,Jagte Raho,8.4,1956,153.0,"Comedy, Drama            ",731
195,Naya Zamana,6.9,1971,151.0,"Drama, Musical            ",75
196,Vidhaata,7.1,1982,168.0,"Action, Drama            ",246
197,Kanoon,7.8,1960,150.0,"Drama, Crime, Mystery            ",272
198,Prahaar: The Final Attack,8.0,1991,166.0,"Drama, Thriller, Action            ",1638
199,Haqeeqat,7.8,1964,184.0,"Action, Musical, War            ",368
